year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2004, 1, 1, 7.8, 3.9, 0.6, 79.0, 2.1, 1.3, 0.0, 0.0, 5.6
2004, 1, 2, 5.9, 3.6, -0.2, 69.4, 3.4, 5.6, 3.5, 0.0, 6.4
2004, 1, 3, 7.6, 3.0, -0.8, 61.6, 3.0, 7.8, 0.0, 0.0, 1.3
2004, 1, 4, 6.1, 0.5, -3.8, 59.5, 1.2, 9.3, 0.0, 0.0, 0.0
2004, 1, 5, 8.2, 1.7, -3.0, 48.1, 1.0, 7.5, 0.0, 0.0, 2.8
2004, 1, 6, 8.3, 3.3, -1.1, 69.3, 1.0, 4.3, 0.0, 0.0, 5.8
2004, 1, 7, 7.1, 2.1, -1.6, 70.1, 2.4, 6.7, 0.0, 0.0, 2.4
2004, 1, 8, 5.1, -0.4, -4.0, 55.4, 1.2, 7.4, 0.0, 0.0, 3.0
2004, 1, 9, 5.7, 1.2, -3.0, 68.8, 1.4, 6.5, 0.0, 0.0, 3.5
2004, 1, 10, 4.7, 0.4, -2.3, 61.6, 3.0, 6.1, 0.0, 0.0, 6.1
2004, 1, 11, 3.7, -1.6, -5.3, 52.3, 1.3, 5.7, 0.0, 0.0, 4.0
2004, 1, 12, 5.2, -0.1, -5.6, 71.5, 4.4, 2.2, 2.1, 0.2, 6.8
2004, 1, 13, -1.1, -2.2, -3.7, 65.8, 6.5, 4.2, 0.6, 1.0, 7.6
2004, 1, 14, 1.4, -2.9, -7.8, 66.3, 0.8, 8.2, 0.0, 0.0, 2.9
2004, 1, 15, 3.7, -1.4, -5.9, 62.4, 1.0, 2.4, 0.0, 0.0, 5.5
2004, 1, 16, 4.6, 1.0, -2.7, 70.9, 1.0, 0.4, 0.1, 0.0, 8.5
2004, 1, 17, 2.5, 0.2, -2.6, 94.5, 0.9, 0.0, 3.7, 4.4, 8.6
2004, 1, 18, 2.3, 0.0, -2.9, 85.8, 3.4, 0.1, 1.0, 0.1, 9.3
2004, 1, 19, 3.1, 0.8, -0.8, 67.3, 3.6, 6.3, 0.0, 0.0, 7.6
2004, 1, 20, 1.3, -1.4, -4.7, 60.8, 2.7, 8.9, 0.9, 1.2, 5.9
2004, 1, 21, -4.6, -10.1, -12.1, 74.3, 2.0, 0.0, 4.1, 8.0, 9.1
2004, 1, 22, -6.4, -10.0, -14.7, 74.6, 2.1, 5.4, 1.6, 2.9, 5.1
2004, 1, 23, -2.7, -7.0, -12.3, 78.5, 1.0, 6.9, 0.1, 0.4, 5.6
2004, 1, 24, -2.5, -6.4, -12.0, 79.6, 1.0, 4.7, 1.3, 3.1, 5.9
2004, 1, 25, -2.5, -5.6, -7.6, 84.3, 1.1, 2.1, 3.2, 6.5, 7.9
2004, 1, 26, -0.4, -5.1, -12.3, 81.0, 1.1, 8.2, 0.0, 0.1, 5.4
2004, 1, 27, 1.3, -4.7, -10.6, 82.8, 1.2, 7.6, 0.0, 0.0, 2.4
2004, 1, 28, 4.2, -1.3, -7.3, 79.4, 1.7, 4.9, 0.0, 0.0, 1.5
2004, 1, 29, 5.1, 0.7, -2.5, 77.0, 1.2, 1.9, 0.0, 0.0, 4.4
2004, 1, 30, 4.8, 0.0, -4.8, 79.0, 1.5, 7.4, 0.0, 0.0, 2.6
