year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2023, 1, 1, 6.0, -0.2, -4.5, 66.3, 1.6, 7.6, 0.0, 0.0, 2.6
2023, 1, 2, 2.4, -2.4, -5.8, 57.1, 1.9, 9.1, 0.0, 0.0, 0.0
2023, 1, 3, 3.4, -3.3, -8.4, 67.8, 1.4, 9.1, 0.0, 0.0, 1.5
2023, 1, 4, 5.7, -0.7, -5.9, 70.1, 1.3, 7.8, 0.0, 0.0, 0.9
2023, 1, 5, 6.7, 1.0, -4.2, 75.4, 0.8, 6.0, 0.0, 0.0, 5.3
2023, 1, 6, 6.9, 2.4, -2.5, 75.0, 1.9, 3.5, 2.3, 0.0, 3.9
2023, 1, 7, 6.0, 3.4, -1.8, 63.1, 4.9, 8.0, 0.0, 0.0, 2.4
2023, 1, 8, 7.6, 1.2, -3.8, 74.6, 0.9, 7.9, 0.0, 0.0, 0.1
2023, 1, 9, 9.2, 3.0, -1.6, 71.5, 1.7, 4.2, 0.0, 0.0, 4.5
2023, 1, 10, 7.6, 0.7, -4.3, 65.9, 0.9, 8.4, 0.0, 0.0, 2.1
2023, 1, 11, 10.0, 1.4, -4.2, 71.8, 0.7, 9.0, 0.0, 0.0, 0.0
2023, 1, 12, 16.4, 7.2, -1.9, 56.8, 1.0, 8.6, 0.7, 0.0, 1.9
2023, 1, 13, 14.8, 10.2, 7.2, 96.5, 2.3, 0.0, 22.2, 0.0, 8.3
2023, 1, 14, 8.5, 5.8, 4.1, 96.0, 1.9, 0.0, 0.0, 0.0, 6.6
2023, 1, 15, 4.2, 0.3, -1.9, 75.5, 5.5, 0.0, 0.0, 0.0, 9.3
2023, 1, 16, 0.5, -2.8, -5.1, 57.3, 3.3, 9.3, 0.0, 0.0, 1.5
2023, 1, 17, 3.4, -1.8, -5.8, 62.9, 1.5, 8.1, 0.0, 0.0, 5.6
2023, 1, 18, 4.4, -0.3, -3.1, 70.6, 1.5, 6.9, 0.0, 0.0, 4.4
2023, 1, 19, 6.8, 1.4, -4.1, 61.5, 2.0, 7.1, 0.0, 0.0, 5.4
2023, 1, 20, 5.7, 0.0, -5.0, 52.3, 5.6, 7.4, 0.0, 0.0, 3.5
2023, 1, 21, 3.0, -2.3, -7.2, 59.3, 1.3, 9.2, 0.0, 0.0, 2.5
2023, 1, 22, 3.8, 0.9, -2.2, 58.3, 1.6, 0.0, 0.0, 0.0, 9.3
2023, 1, 23, 7.3, 1.0, -2.4, 66.4, 3.6, 6.5, 0.0, 0.0, 5.6
2023, 1, 24, -2.2, -9.3, -11.9, 58.0, 7.8, 7.2, 0.0, 0.0, 5.8
