year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2023, 1, 1, 5.7, 0.4, -3.5, 70.9, 0.6, 7.2, 0.0, 0.0, 0.0
2023, 1, 2, 2.1, -1.7, -5.3, 66.0, 1.0, 8.0, 0.0, 0.0, 4.0
2023, 1, 3, 3.3, -2.3, -7.4, 71.5, 0.8, 8.0, 0.0, 0.0, 1.9
2023, 1, 4, 5.6, -0.5, -5.7, 75.6, 0.5, 4.4, 0.0, 0.0, 2.6
2023, 1, 5, 7.2, 1.7, -2.6, 79.0, 0.5, 6.7, 0.0, 0.0, 6.6
2023, 1, 6, 7.5, 2.7, -2.6, 85.6, 0.9, 3.2, 2.4, 0.0, 5.5
2023, 1, 7, 7.8, 3.9, -1.4, 68.5, 2.0, 4.9, 0.0, 0.0, 3.1
2023, 1, 8, 8.1, 2.5, -2.6, 77.1, 0.6, 7.5, 0.0, 0.0, 0.1
2023, 1, 9, 10.5, 4.6, -1.4, 77.8, 1.3, 2.5, 0.0, 0.0, 4.6
2023, 1, 10, 6.6, 0.6, -5.1, 73.9, 0.5, 7.4, 0.0, 0.0, 2.6
2023, 1, 11, 10.3, 2.2, -3.4, 76.6, 0.4, 8.1, 0.0, 0.0, 0.1
2023, 1, 12, 16.3, 7.8, -1.8, 66.1, 0.7, 6.8, 0.3, 0.0, 1.9
2023, 1, 13, 15.3, 11.9, 8.5, 97.5, 1.9, 0.0, 27.8, 0.0, 6.0
2023, 1, 14, 8.6, 6.1, 4.6, 96.4, 2.2, 0.0, 0.0, 0.0, 8.6
2023, 1, 15, 5.0, 1.4, -0.2, 75.6, 2.3, 0.0, 0.8, 0.0, 9.6
2023, 1, 16, 1.2, -1.5, -4.0, 61.9, 1.8, 5.4, 0.0, 0.0, 4.6
2023, 1, 17, 3.6, -1.3, -5.5, 65.8, 0.7, 8.0, 0.0, 0.0, 5.6
2023, 1, 18, 5.0, 0.3, -2.4, 77.6, 0.7, 5.8, 0.0, 0.0, 3.9
2023, 1, 19, 7.2, 2.1, -3.8, 72.1, 1.2, 5.9, 0.0, 0.0, 5.3
2023, 1, 20, 5.9, 1.0, -3.9, 55.5, 2.1, 6.0, 0.0, 0.0, 4.3
2023, 1, 21, 3.3, -2.1, -7.1, 68.4, 0.7, 8.4, 0.0, 0.0, 3.3
2023, 1, 22, 5.4, 0.8, -3.3, 69.4, 0.6, 0.0, 0.0, 0.0, 9.0
2023, 1, 23, 8.0, 1.6, -2.6, 70.3, 1.6, 6.2, 0.0, 0.0, 5.6
2023, 1, 24, -1.2, -8.0, -10.5, 70.8, 3.1, 1.2, 2.6, 0.0, 8.3
2023, 1, 25, -3.9, -9.9, -15.3, 62.4, 1.1, 8.9, 0.0, 0.0, 3.1
2023, 1, 26, 1.8, -1.7, -10.6, 78.1, 1.4, 0.0, 0.4, 0.0, 9.4
2023, 1, 27, -0.4, -3.2, -6.1, 67.3, 1.9, 6.1, 0.1, 0.0, 6.3
2023, 1, 28, -0.2, -3.8, -9.4, 77.1, 0.8, 4.6, 1.0, 0.0, 5.1
2023, 1, 29, 6.2, 0.8, -6.9, 73.9, 1.5, 5.8, 0.0, 0.0, 1.8
2023, 1, 30, 5.9, 0.4, -4.5, 60.0, 1.0, 9.2, 0.0, 0.0, 0.0
2023, 1, 31, 10.6, 3.6, -3.3, 66.3, 1.6, 9.1, 0.0, 0.0, 1.3
2023, 2, 1, 7.8, 3.9, -0.7, 70.0, 1.7, 6.3, 0.0, 0.0, 6.1
2023, 2, 2, 3.4, -0.5, -3.7, 60.4, 1.2, 7.5, 0.0, 0.0, 6.3
2023, 2, 3, 3.4, -0.3, -3.2, 60.6, 1.1, 7.1, 0.0, 0.0, 4.5
2023, 2, 4, 7.1, -0.2, -5.6, 72.9, 0.6, 9.3, 0.0, 0.0, 0.9
2023, 2, 5, 8.8, 0.7, -4.9, 69.4, 0.7, 9.4, 0.0, 0.0, 0.0
2023, 2, 6, 11.1, 2.4, -4.8, 65.8, 0.8, 5.8, 0.0, 0.0, 5.1
2023, 2, 7, 9.5, 3.1, -1.8, 76.6, 1.5, 8.1, 0.0, 0.0, 3.5
2023, 2, 8, 7.9, 1.6, -2.8, 78.4, 1.3, 8.7, 0.0, 0.0, 5.1
2023, 2, 9, 11.6, 4.5, -3.8, 62.3, 1.1, 4.3, 0.2, 0.0, 7.6
